Date,Time,Open,High,Low,Close,Volume
2023-01-13,09:21:00,105.15,105.15,105.15,105.15,0
2023-01-13,09:42:00,0.0,0.0,105.15,105.15,0
2023-01-13,09:48:00,105.15,105.15,105.15,105.15,0
2023-01-13,09:57:00,105.15,105.15,105.15,105.15,0
2023-01-13,10:03:00,105.15,105.15,105.15,105.15,0
2023-01-13,10:24:00,105.15,105.15,105.15,105.15,0
2023-01-13,13:00:00,105.15,105.15,105.15,105.15,0
2023-01-16,09:33:00,105.15,105.15,105.15,105.15,0
2023-01-16,09:51:00,0.0,0.0,105.15,105.15,0
2023-01-16,10:30:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:33:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:36:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:45:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:48:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:51:00,105.15,105.15,105.15,105.15,0
2023-01-16,10:54:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:00:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:03:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:06:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:15:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:21:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:30:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:33:00,105.15,105.15,105.15,105.15,0
2023-01-16,11:51:00,105.15,105.15,105.15,105.15,0
2023-01-16,12:03:00,105.15,105.15,105.15,105.15,0
2023-01-16,12:12:00,105.15,105.15,105.15,105.15,0
2023-01-16,12:18:00,105.15,105.15,105.15,105.15,0
2023-01-16,12:30:00,105.15,105.15,105.15,105.15,0
2023-01-16,12:51:00,105.15,105.15,105.15,105.15,0
2023-01-16,13:00:00,105.15,105.15,105.15,105.15,0
2023-01-16,13:18:00,105.15,105.15,105.15,105.15,0
2023-01-16,13:30:00,105.15,105.15,105.15,105.15,0
