Date,Time,Open,High,Low,Close,Volume
2023-01-13,09:21:00,76.3,76.3,76.3,76.3,0
2023-01-13,09:42:00,0.0,0.0,76.3,76.3,0
2023-01-13,09:48:00,76.3,76.3,76.3,76.3,0
2023-01-13,09:54:00,76.3,76.3,76.3,76.3,0
2023-01-13,09:57:00,76.3,76.3,76.3,76.3,0
2023-01-13,10:00:00,76.3,76.3,76.3,76.3,0
2023-01-13,10:03:00,76.3,76.3,76.3,76.3,0
2023-01-13,10:06:00,76.3,76.3,76.3,76.3,0
2023-01-13,10:18:00,76.3,76.3,76.3,76.3,0
2023-01-13,10:24:00,76.3,76.3,76.3,76.3,0
2023-01-13,12:57:00,76.3,76.3,76.3,76.3,0
2023-01-13,13:12:00,76.3,76.3,76.3,76.3,0
2023-01-16,09:42:00,76.3,76.3,76.3,76.3,0
2023-01-16,09:51:00,0.0,0.0,76.3,76.3,0
2023-01-16,10:33:00,76.3,76.3,76.3,76.3,0
2023-01-16,10:45:00,76.3,76.3,76.3,76.3,0
2023-01-16,10:48:00,76.3,76.3,76.3,76.3,0
2023-01-16,10:51:00,76.3,76.3,76.3,76.3,0
2023-01-16,10:54:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:00:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:03:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:06:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:15:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:21:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:30:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:33:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:45:00,76.3,76.3,76.3,76.3,0
2023-01-16,11:54:00,76.3,76.3,76.3,76.3,0
2023-01-16,12:03:00,76.3,76.3,76.3,76.3,0
2023-01-16,12:12:00,76.3,76.3,76.3,76.3,0
2023-01-16,12:18:00,76.3,76.3,76.3,76.3,0
2023-01-16,12:30:00,76.3,76.3,76.3,76.3,0
2023-01-16,12:51:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:00:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:18:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:21:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:30:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:36:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:42:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:45:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:51:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:54:00,76.3,76.3,76.3,76.3,0
2023-01-16,13:57:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:00:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:18:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:21:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:24:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:27:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:30:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:33:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:36:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:39:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:42:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:45:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:48:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:54:00,76.3,76.3,76.3,76.3,0
2023-01-16,14:57:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:00:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:03:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:18:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:21:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:24:00,76.3,76.3,76.3,76.3,0
2023-01-16,15:27:00,76.3,76.3,76.3,76.3,0
2023-01-17,09:45:00,76.3,76.3,76.3,76.3,0
2023-01-17,09:54:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:00:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:03:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:12:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:42:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:45:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:54:00,76.3,76.3,76.3,76.3,0
2023-01-17,10:57:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:00:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:03:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:06:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:21:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:30:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:33:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:51:00,76.3,76.3,76.3,76.3,0
2023-01-17,11:54:00,76.3,76.3,76.3,76.3,0
2023-01-17,12:30:00,76.3,76.3,76.3,76.3,0
2023-01-17,12:42:00,76.3,76.3,76.3,76.3,0
2023-01-17,12:48:00,76.3,76.3,76.3,76.3,0
2023-01-17,12:54:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:06:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:09:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:24:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:27:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:30:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:51:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:54:00,76.3,76.3,76.3,76.3,0
2023-01-17,13:57:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:00:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:03:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:06:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:09:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:12:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:15:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:18:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:27:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:36:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:39:00,76.3,76.3,76.3,76.3,0
2023-01-17,14:42:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:00:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:03:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:06:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:09:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:12:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:15:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:21:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:24:00,76.3,76.3,76.3,76.3,0
2023-01-17,15:27:00,76.3,76.3,76.3,76.3,0
2023-01-18,09:36:00,76.3,76.3,76.3,76.3,0
2023-01-18,09:54:00,76.3,76.3,76.3,76.3,0
2023-01-18,10:06:00,76.3,76.3,76.3,76.3,0
2023-01-18,10:09:00,76.3,76.3,76.3,76.3,0
2023-01-18,10:39:00,76.3,76.3,76.3,76.3,0
2023-01-18,10:42:00,76.3,76.3,76.3,76.3,0
2023-01-18,10:57:00,76.3,76.3,76.3,76.3,0
2023-01-18,11:06:00,76.3,76.3,76.3,76.3,0
2023-01-18,11:15:00,76.3,76.3,76.3,76.3,0
2023-01-18,11:48:00,76.3,76.3,76.3,76.3,0
2023-01-18,12:24:00,76.3,76.3,76.3,76.3,0
2023-01-18,12:39:00,76.3,76.3,76.3,76.3,0
2023-01-18,12:42:00,76.3,76.3,76.3,76.3,0
2023-01-18,12:57:00,76.3,76.3,76.3,76.3,0
2023-01-18,13:48:00,76.3,76.3,76.3,76.3,0
2023-01-18,13:51:00,76.3,76.3,76.3,76.3,0
2023-01-18,13:54:00,76.3,76.3,76.3,76.3,0
2023-01-18,13:57:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:06:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:09:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:21:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:24:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:45:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:48:00,76.3,76.3,76.3,76.3,0
2023-01-18,14:51:00,76.3,76.3,76.3,76.3,0
2023-01-18,15:00:00,76.3,76.3,76.3,76.3,0
2023-01-18,15:06:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:27:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:36:00,0.0,76.3,76.3,76.3,0
2023-01-19,09:39:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:42:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:45:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:51:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:54:00,76.3,76.3,76.3,76.3,0
2023-01-19,09:57:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:03:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:06:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:09:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:12:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:21:00,76.3,76.3,76.3,76.3,0
2023-01-19,10:51:00,76.3,76.3,76.3,76.3,0
2023-01-19,11:00:00,76.3,76.3,76.3,76.3,0
2023-01-19,11:09:00,76.3,76.3,76.3,76.3,0
2023-01-19,11:12:00,76.3,76.3,76.3,76.3,0
2023-01-19,11:21:00,76.3,76.3,76.3,76.3,0
2023-01-19,11:24:00,76.3,76.3,76.3,76.3,0
2023-01-19,12:15:00,76.3,76.3,76.3,76.3,0
2023-01-19,12:42:00,76.3,76.3,76.3,76.3,0
2023-01-19,12:48:00,76.3,76.3,76.3,76.3,0
2023-01-19,13:15:00,76.3,76.3,76.3,76.3,0
2023-01-19,13:54:00,76.3,76.3,76.3,76.3,0
2023-01-19,13:57:00,76.3,76.3,76.3,76.3,0
2023-01-19,14:03:00,76.3,76.3,76.3,76.3,0
2023-01-19,14:18:00,76.3,76.3,76.3,76.3,0
2023-01-19,14:21:00,76.3,76.3,76.3,76.3,0
2023-01-19,14:33:00,76.3,76.3,76.3,76.3,0
2023-01-19,14:57:00,76.3,76.3,76.3,76.3,0
2023-01-19,15:03:00,76.3,76.3,76.3,76.3,0
2023-01-19,15:09:00,76.3,76.3,76.3,76.3,0
2023-01-19,15:15:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:15:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:21:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:24:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:27:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:30:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:33:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:36:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:39:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:42:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:48:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:54:00,76.3,76.3,76.3,76.3,0
2023-01-20,09:57:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:00:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:03:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:06:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:09:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:12:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:15:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:18:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:21:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:24:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:27:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:30:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:33:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:36:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:39:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:42:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:45:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:48:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:51:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:54:00,76.3,76.3,76.3,76.3,0
2023-01-20,10:57:00,76.3,76.3,76.3,76.3,0
