Date,Time,Open,High,Low,Close,Volume
2023-01-18,11:57:00,481.9,481.9,481.9,481.9,50
2023-01-18,12:00:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:03:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:06:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:09:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:12:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:15:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:18:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:27:00,481.9,481.9,481.9,481.9,0
2023-01-18,12:30:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:27:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:45:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:48:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:51:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:54:00,481.9,481.9,481.9,481.9,0
2023-01-18,13:57:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:00:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:03:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:06:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:09:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:12:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:15:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:18:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:21:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:24:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:27:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:30:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:33:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:36:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:39:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:42:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:45:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:48:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:51:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:54:00,481.9,481.9,481.9,481.9,0
2023-01-18,14:57:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:00:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:03:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:06:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:09:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:12:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:15:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:18:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:21:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:24:00,481.9,481.9,481.9,481.9,0
2023-01-18,15:27:00,481.9,481.9,481.9,481.9,0
