Date,Time,Open,High,Low,Close,Volume
2023-01-13,09:21:00,153.15,153.15,153.15,153.15,0
2023-01-13,09:57:00,0.0,0.0,153.15,153.15,0
2023-01-13,10:03:00,153.15,153.15,153.15,153.15,0
2023-01-13,11:18:00,153.15,153.15,153.15,153.15,0
2023-01-16,09:42:00,153.15,153.15,153.15,153.15,0
2023-01-16,09:51:00,0.0,0.0,153.15,153.15,0
2023-01-16,10:57:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:00:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:06:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:15:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:21:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:30:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:39:00,153.15,153.15,153.15,153.15,0
2023-01-16,11:51:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:03:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:12:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:18:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:24:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:30:00,153.15,153.15,153.15,153.15,0
2023-01-16,12:51:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:00:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:18:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:30:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:33:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:36:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:42:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:45:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:48:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:51:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:54:00,153.15,153.15,153.15,153.15,0
2023-01-16,13:57:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:00:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:06:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:18:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:21:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:24:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:27:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:30:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:33:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:36:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:39:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:42:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:45:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:48:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:54:00,153.15,153.15,153.15,153.15,0
2023-01-16,14:57:00,153.15,153.15,153.15,153.15,0
2023-01-16,15:00:00,153.15,153.15,153.15,153.15,0
2023-01-16,15:03:00,153.15,153.15,153.15,153.15,0
